var,mean,std
obs_pm25,65.17136465394924,54.458700169239556
BCSMASS,6.9708694e-10,1.0277549922221851e-09
OCSMASS,3.5326548e-09,5.930446800306299e-09
DUSMASS,5.556897e-08,1.0436765762733557e-07
SO2SMASS,1.7809201e-09,3.191639619259945e-09
SO4SMASS,3.5430918e-09,5.066624009231191e-09
TOTEXTTAU,0.27342507,0.22527414560317993
EVAP,-0.0007108647,0.0007841998594813049
DEWP2,284.52866,92.74713897705078
TEMP2,292.22144,92.74713897705078
VWIND10,0.080468744,2.076751708984375
UWIND10,0.79617417,2.3643791675567627
SP,90096.84,33578.05078125
SSRD,9003980.0,6079171.5
TPREC,0.0009316063,0.0029761421028524637
BLH,613.2752,380.7015380859375
TCLOUD,0.4981942,0.25618019700050354
